lemma,grammar_gloss,meaning_en,meaning_pl
klijęć,(m),client,klient
klikar,"(v, 1)",click,kliknąć
"klinamię, -mnie",(n),"tendency, bending",skłonność
klinar sie,"(v, 1)",tend,skłaniać się
klinaty,(adj),bended,"zgięty, wygięty"
klinicy,(adj),clinical,kliniczny
klinika,(f),clinic,klinika
klocyk,(m),block,klocek
klucz,(m),key,klucz
kłamar,"(v, 1)",call,wołać
kłartać,(f),"clearness, brightness",jasność
kłary,(adj),clear,jasny
kław,(f),lock,zamek
kłop,(m),"strike, hit, blow",uderzenie
kłopar,"(v, 1)","strike, hit, blow","uderzać, trzaskać"
kłużeń,(f),enclosure,ogrodzenie
kmeł,(m),pile,kupa
kmieć,(m),"farmer, peasant",chłop
kmody,(adj),comfortable,wygodny
koaliceń,(f),coalition,koalicja
kobalt,(n),cobalt,kobalt
kobój,(m),cowboy,kowboj
kocidzan,(adv),daily,codziennie
kocidzany,(adj),daily,codzienny
kocidzańtać,(f),"everyday life, daily life",codzienność
kociestar,"(v, 1)",contest,rywalizować
kocięć,(f),content,"zawartość, treść"
kocięwaceń,(f),continuation,przedłużenie
kocięwar,"(v, 1)",continue,przedłużać
kocięwu,(adv),continuously,ciągle
kocięwy,(adj),continuous,ciągły
kociona,(f),chain,łańcuch
kociół,(m),puppy,szczenię
kociwiecz,(adv),more and more,coraz
kociwy,(m),prisoner,wiezień
koczepceń,(f),"understanding, conception",pojęcie
koczepier,"(v, irr.)","conceive, understand","rozumieć, pojmować"
koczętraceń,(f),concentration,"skupienie, skupisko"
koczętrar,"(v, 1)",concentrate,skupiać
kodamód,(adv),in some way,w jakiś sposób
kodawierz,(m),cadavre,zwłoki
kodraśmy,(num),fourtieth,czterdziesty
kodrzęta,(num),fourty,czterdzieści
koduca,(f),behaviour,zachowanie
kodyczer,"(v, 7)",bring along,sprowadzać
kodzieceń,(f),condition,warunek
kodzieconały,(adj),conditional,warunkowy
kodziemnar,"(v, 1)",condemn,potępiać
kofieciar,"(v, 2)",confess,przyznawać
kofierzmaceń,(f),confirmation,potwierdzenie
kofierzmar,"(v, 1)",confirm,potwierdzić
kofieszeń,(f),confession,przyznanie się
kofla,(f),"cap, bonnet",czapka
kofrotar,"(v, 1)",calm down,uspokajać
kofyzar,"(v, 1)",mix,mieszać
kogłar,"(v, 1)",to curdle,krzepnąć
koju ... iłu,(conj),the ... the,im ... tym
kokiżytar,"(v, 1)",conquer,zdobywać
kokiżytatórz,(m),conquerer,zdobywca
"koklar, -rze",(n),spoon,łyżka
kokłudzier,"(v, 7)",conclude,wywnioskować
kokłużeń,(f),conclusion,wniosek
kokrodza,(f),concord,"zgoda, jedność"
kokwier,"(v, 7)",cook,gotować
kol,(m),hill,wzgórze
kolega,(m),"colleague, friend",kolega
kolędarz,(n),"calendar, agenda",kalendarz
kolżer,"(v, 7)",collect,zbierać
koła,(f),glue,klej
kołaceń,(f),dinner,kolacja
kołąb,(m),dove,gołąb
kołbra,(f),snake,wąż
kołoraty,(adj),coloured,barwny
kołos,(m),giant,olbrzym
kołosały,(adj),"gigantic, enormous","olbrzymi, ogromny"
kołórz,(m),colour,kolor
kołunia,(f),colony,kolonia
kołuniały,(adj),colonial,kolonialny
kołyna,(f),pillar,filar
kołysar,"(v, 1)","rock, lull",kołysać
kombinaceń,(f),combination,kombinacja
kombinar,"(v, 1)",combine,kombinować
komedia,(f),comedy,komedia
"komędamię, -tu",(n),commandment,przykazanie
komędant,(m),commander,komendant
komędar,"(v, 1)",command,rozkazywać
komętar,(f),comment,komentować
komętarz,(n),comment,komentarz
komicy,(adj),comical,komiczny
komiemorar,"(v, 1)",commemorate,upamiętniać
komięcar,"(v, 2)",begin,zaczynać
"komięcemię, -tu",(n),beginning,początek
komin,(m),"fire-place, oven",kominek
komiół,(m),camel,wielbłąd
komitat,(m),committee,komitet
komiża,(f),shirt,koszula
komlar,"(v, 2)",say goodbye,żegnać
komód,(+ superlative),as ... as possible,jak naj-
komód,(adv),"how, as, like",jak
komód: komód ... szyk i,(conj),both ... and,zarówno ... jak i
komódkąk,(adv),in whatever way,jakkolwiek
kompas,(m),compass,kompas
komplety,(adj),complete,kompletny
"komponię, -tu",(n),component,składnik
kompozytórz,(m),composer,kompozytor
komrzecz,(n),trade,handel
komrzeczały,(adj),commercial,komercjalny
komunikaceń,(f),communication,komunikacja
komunikar,"(v, 1)",communicate,komunikować
komuniski,(adj),communist,komunistyczny
komunista,(m),communist,komunista
komunizm,(n),communism,komunizm
komyni,(adj),common,wspólny
komynień,(f),parish,parafia
komyńtać,(f),community,wspólnota
kona,(f),reed,trzcina
koncert,(m),concert,concert
kondom,(m),condom,kondom
konfederaceń,(f),confederation,konfederacja
konfrontaceń,(f),confrontation,konfrontacja
konfrontar,"(v, 1)",confront,konfrontować
kongres,(m),congress,kongres
koniak,(m),brandy,koniak
koniąceń,(f),conjunction,spójnik
koniecar,"(v, 2)",connect,połączać
konieceń,(f),connection,połączenie
konikła,(f),caterpillar,gąsienica
konserwacista,(m),conservative,konserwatysta
konserwaciwy,(adj),conservative,konserwatywny
konstytuceń,(f),constitution,konstytucja
kontakt,(m),contact,kontakt
kontażuzy,(adj),"contageous, infectuous",zaraźliwy
kontekst,(m),context,kontekst
konto,(n),account,konto
kontrabas,(m),double bass,kontrabas
kontrakt,(m),contract,kontrakt
kontrola,(f),control,kontrola
kontrolar,"(v, 2)",control,kontrolować
"kontynię, -tu",(n),continent,kontynent
konwój,(m),convoy,konwój
kooperaceń,(f),cooperation,współpraca
kopactać,(f),capacity,zdolność
kopan,(m),"mate, friend, comrade","kumpel, kolega"
koparaceń,(f),comparison,porównanie
koparar,"(v, 1)",compare,porównywać
kopazan,(m),compatriat,rodak
kopięzaceń,(f),compensation,kompensacja
kopiół,(m),hair,włos
koplar,"(v, 2)",fulfilll,spełniać
"koplemię, -tu",(n),compliment,komplement
kopła,(f),"link, chain",ogniwo
koposzeń,(f),"pity, compassion","współczucie, litość"
kopra,(f),goat,koza
koprzer,"(v, 5)",cover,pokrywać
koprzędzier,"(v, 7)",understand,rozumieć
koprzężeń,(f),understanding,"zrozumienie, wyrozumiałość"
koptały,(adj),"head-, capital",główny
kopunier (pp. kopusty),"(v, 7)",compose,składać
kopyta,(f),hoof,kopyto
kor,(m),wagon,wóz
koraceń,(f),courage,odwaga
koracuzy,(adj),courageous,odważny
kordynieży,(n),from Kordyn (Kraków),kordyński (krakowski)
korek,(m),traffic jam,korek
korkar,"(v, 1)","load, charge",ładować
korkotraj,(m),corkscrew,korkociąg
korocieży,(adj),courtly,dworny
koroć,(f),court,dwór
koruna,(f),crown,korona
korunaceń,(f),coronation,koronacja
korycar,"(v, 2)",spoil,zepsuć
korzecemięć,(adv),correctly,poprawny
korzy,(adj),leather,skórzany
korżer,"(v, 7)",correct,poprawiać
kosięcier (perf. kosiąszy),"(v, 5)",agree,zgadzać się
kosmetycy,(adj),cosmetic,kosmetyczny
kosmita,(m),"alien, extraterrestrial creature",kosmita
kosta,(f),side,strona
kostani,(adj),brown (dark),(ciemno-)brązowy
kostania,(f),chestnut,kasztan
kostar,"(v, 1)",cost,kosztować
kostęci,(adj),constant,ciągły
kostęć,(adv),constantly,ciągle
kostryjer,"(v, 7)","build, make","budować, stwarzać"
kostrzężer,"(v, 7)",constrict,"ściągać, zaciskać"
kosttać,(f),decency,przyzwoitość
kosty,(adj),decent,przyzwoity
kosy,(adj),tiny,nikczemny
kosza,(f),"case, chest, box",skrzynia
koszar,"(v, 2)",complain,marudzić
koszczęca,(f),conscience,sumienie
koszczęcuzy,(adj),conscientious,sumienny
koszczustać,(f),consciousness,świadomość
koszczuzy,(adj),conscious,świadomy
koszta,(f),cost,koszt
koszydrar,"(v, 1)",consider,"rozważać, uważać"
kościgar,"(v, 1)","chastise, castigate",chłostać
kościół,(n),castle,zamek
kośkiny,(adj),every,każdy
koświer,"(v, 7)",sew,szyć
kot,(m),cat,kot
kotamnar,"(v, 1)",contaminate,zarażać
kotar,"(v, 1)",catch,łapać
kotniar,"(v, irr.)",contain,zawierać
kotrar,(v. irr.),"draw together, contract","ściągać, kurczyć"
kotry,(num),four,cztery
kotryczęcieśmy,(num),four hundredth,czterysetny
kotryczęta,(num),four hundred,czterysta
kotrysprzedczy,(num),fourteen,czternaście
kotrysprzedzieśmy,(num),fourteenth,czternasty
kotrzybytar,"(v, 1)",contribute,wkładać
kotuń,(m),tom-cat,kocur
"kowię, -tu",(n),meeting,zebranie
kowiwier,"(v, 7)",have intercourse,współżyć
kownier,"(v, irr.)","become, be decent","należeć, wypadać"
kowrzona,(f),cave,grota
kozłutar,"(v, 1)",consult,poradzić
kód,(conj),that,że
"kód (koju, kój)",(pron.ind.),what,co
kódeż,(intj),"whatever, anything",cokolwiek
kódkąk,(pron.ind.),whatever,cokolwiek
kój,(adv),why,"dlaczego, czemu"
kół,(n),neck,szyja
kółkar,"(v, 1)","lay, put",kłaść
kór,(m),choir,chór
kórz,(n),leather,skóra
krab,(m),crab,krab
kran,(m),tap,kran
krem,(m),cream,krem
krobła,(f),basket,kosz
kroda,(f),string,struna
kroda: kroda węblikała,,umbilical string,pępowina
krodzały,(adj),heartily,serdeczny
krodzelemięć,(adv),heartily,serdecznie
krokodyl,(m),crocodile,krokodyl
kron,(n),horn,róg
"kropu, -prze",(n),body,ciało
krostydzień,(f),"thickness, fatness",grubość
krosy,(adj),"thick, fat",gruby
"kród, krodzie",(n),heart,serce
krów,(m),raven,kruk
krucz,(f),cross,krzyż
kruczar,"(v, 2)",cross,krzyżować
kruczewkar,"(v, 1)",crucify,ukrzyżować
krwięć,(adv),cruelly,okrutnie
krwiętar,"(v, 1)",treat cruelly,znęcać się nad
krwięty,(adj),cruel,okrutny
krwórz,(m),cruelty,okrucieństwo
krydy,(adj),raw,surowy
krydzioły,(adj),cruel,okrutny
kryp,(m),creep,obles
krysztaliny,(adj),crystal,kryształowy
kryształ,(m),crystal,kryształ
krytycy,(adj),critical,krytyczny
krytyk,(m),critic,krytyk
krytyka,(f),criticism,krytyka
kryzys,(m),crisis,kryzys
krzebramięć,(adv),often,wielokrotnie
krzebry,(adj),"frequent, manifold",wielokrotny
krzeczar,"(v, 2)","limit, restraint",ograniczać
krzedzibły,(adj),credible,wiarygodny
krzedzier (1. krzodu),"(v, 7)",believe,wierzyć
krzejaceń,(f),creation,stworzenie
krzejaciwy,(adj),creative,twórczy
krzejar,"(v, 2)",create,stwarzać
krzejatera,(f),creature,"stworzenie, kreatura"
krzepar,"(v, 1)",crack; die (animal),"roztrzaskać, trzeszczeć; zdychać"
krzepyskieł,(n),dusk,"zmrok, zmierzch"
krzeszczer (1. krzosku),"(v, 8)",grow,rosnąć
krzyber,(n),strainer,siatka
"krzymię, -mnie",(n),crime,zbrodnia
krzytar,"(v, 1)",shout,krzyczeć
księkieł,(m),rabbit,królik
ku,(prep +2),with,z (kimś)
kubit,(m),elbow,łokieć
kubrzyn,(m),cousin (m),kuzin
kubrzyna,(f),cousin (f),kuzynka
kuceń,(f),caution,ostrożność
kucielicze,(m.pl.),scissors,nożyczki
kuda,(f),tail,ogon
kukąk,(adv),for whatever reason,wszystko jedno dlaczego
kukurydza,(f),"corn, maize",kukurydza
kul,(m),cabbage,kapusta
kuleń,(f),testicle,jądro
kultura,(f),culture,kultura
kulturały,(adj),"cultural, civilised",kulturalny
kun,(m),cunt,cipa
kunieszczer (pp. kunity),"(v, 8)","know (somebody, language, etc.)",znać
kunieszczęca,(f),knowledge,wiedza
kunity,(adj),acquaintance; known,znajomy
kupa,(f),cup,kubek
kupier,"(v, 7)",buy,kupować
kura!,(intj),"shit!, fuck!",kurde
kurdupelik,(m),"dwarf, tiny person or thing",kurdupelek
kureszcie,(adv),by the way,zresztą
kursywy,(adj),"cursive, in italics",kursywny
kurzer,"(v, 7)",run,"biegać, biec"
kurzęć,(m),courier,kurier
kuty,(adj),careful,ostrożny
kuza,(f),"reason, cause",powód
kuzar,"(v, 1)",cause,powodować
kuziel,(n),council,rada
kwadrans,(m),quarter of an hour,kwadrans
kwadrat,(m),square,kwadrat
kwaltać,(f),quality,jakość
kwałak,(adv),along what way,którędy
kwały,(pron.rel.),which,który
kwałykąk,(pron),whichever,jakikolwiek
kwart,(m),quarter,ćwierć
kwartał,(m),quarter of a year,kwartał
kwarty,(num),fourth,czwarty
kwiaru,(intj),please,proszę
kwiaty,(adj),quiet,spokojny
kwiąkwaśmy,(num),fiftieth,pięćdziesiąty
kwiąkwięta,(num),fifty,pięćdziesiąt
kwiąty,(num),fifth,piąty
kwierzer (1. kwiaru),"(v, 7)","ask, request","pytać, prosić"
kwieszczeń,(f),question,pytanie
kwiny,(pron.int.),whose,czyj
kwota,(f),"amount, sum",kwota
labirynt,(n),labyrinth,labirynt
lampa,(f),lamp,lampa
latamięć,(adv),gladly,radośnie
laty,(adj),glad,radosny
"le (łar, lew, łasz)",(pron.pers.),they (f),one (żeń.)
"le (łór, lew, le)",(pron.pers.),they (n),one (nij.)
lec,(m),bed,łóżko
leceń,(f),lesson,lekcja
lecieca,(f),joy,radość
leciecuzy,(adj),joyful,radosny
lecze,"(v, 7)",it is allowed (impers.),wolno
lefęć,(m),elephant,słoń
legaceń,(f),alloy,stop
legały,(adj),legal,legalny
legat,(m),"messenger, deputy",poseł
legenda,(f),legend,legenda
legendarzy,(adj),legendary,legendarny
lej,(pron.pers.),"hers, belonging to her",jej
lejeń,(f),legion,legion
lekidy,(adj),liquid,płynny
leni,(adj),"soft, weak",łagodny
leniewkaceń,(f),relief,ukojenie
leniewkar,"(v, 1)","relieve, sooth",koić
leona,(f),lioness,lwica
leoń,(m),lion,lew
lepruzy,(adj),leprose,trędowaty
leprz,(m),hare,zając
letra,(f),letter,litera
letralemięć,(adv),literally,dosłownie
letrały,(adj),literal,dosłowny
lewa,(f),left,lewo
lewar,"(v, 1)","relieve, raise, erect",podnosić
lewi,(adj),light,lekki
lewie (perf. lewszy),"(v, irr.)",to feel like (impers.),mieć ochotę na
lewtać,(f),lightness,lekkość
lewy,(adj),left,lewy
leż,(adv),"also, too",też
leż,(f),law,ustawa
leżer,"(v, 7)",read,czytać
leżodatórz,(m),lawgiver,ustawodawca
lęcykła,(f),lentil,soczewica
lęgwa,(f),language,język
lęgwista,(m),linguist,językoznawca
lęgwistycy,(adj),linguistic,lingistyczny
lęty,(adj),slow,powolny
"li (łór, lew, łosz)",(pron.pers.),they (m),oni
liberalizm,(m),liberalism,liberalizm
liberały,(adj),liberal,liberalny
libier,(m),book,książka
libra,(f),pound,funt
librarza,(f),bookshop,księgarnia
lic,(n),lithium,lit
liczej,(n),lyceum,liceum
liga,(f),league,liga
likier,(m),liquor,likier
likwidaceń,(f),liquidation,likwidacja
likwidar,"(v, 1)",liquidate,likwidować
lil,(n),lily,lilia
lim,(m),clay,glina
"limię, -mnie",(n),doorstep,próg
limitar,"(v, 1)",limit,ograniczać
lini,(adj),wooden,drewniany
linia,(f),line,linia
liń,(n),wood,drewno
lirycy,(adj),lyrical,liryczny
liryka,(f),lyricism,liryka
lista,(f),list,lista
literarzy,(adj),literary,literacki
literatera,(f),literature,literatura
"litu, -trze",(n),beach,plaża
Litwan,(m),Lithuanian,Litwin
Litwania,(f),Lithuania,Litwa
litwańki,(adj),Lithuanian,litewski
liwartać,(f),freedom,wolność
liwraceń,(f),liberation,wyzwolenie
liwrar,"(v, 1)",liberate,uwolnić
liwry,(adj),free,wolny
logicy,(adj),logical,logiczny
logo,(n),logo,logo
lojaltać,(f),loyalty,lojalność
lojały,(adj),loyal,lojalny
lubier,"(v, 5)",like,lubić
"ludzie, -iór",(m.pl.),people (pl.),ludzie
luizjany,(adj),Louisiannais,luizjański
lwięca,(f),"lust, mind",ochota
lwięci,(adj),willing,chętny
lwięć,(adv),"with pleasure! yes, please!",chętnie
"ła (lej, lej, łą)",(pron.pers.),she,ona
"łab, -ie",(n),lip,warg
łacina,(f),Latin,łaciński
łaciny,(adj),Latin,łaciński
łaczrar,"(v, 1)","rip, tear",rywać
łajek,(m),lay,laik
łak,(m),lake,jezioro
łana,(f),wool,wełna
łapa,(f),paw,łapa
łar,(pron.poss.),their (f),ich (żeń.)
łargi,(adj),broad,szeroki
łasar,"(v, 1)",let,puszczać
"łatu, łatrze",(n),wing,skrzydło
ławar (perf. ławszy),"(v, 1)",wash,"myć, prać"
ławięda,(f),lavender,lawenda
łąg,(adv),long,długo
łągi,(adj),long,długi
łągidy,(adj),lazy,leniwy
łągierzy,(adj),longer (comparative of łągi),dłuższy
łągieśmy,(adj),longest (superlative of łągi),najdłuższy
łągoskrzyw,(m),pen,długopis
łągwiar,"(v, 3)",lazy,lenić się
łągwiestać,(f),"longing, yearning",tęsknota
łągwieszczer (po jelkoju),"(v, 8)","long, yearn (for)",tęsknić (za czymś)
łągwieszczęca,(f),"longing, yearning","tęsknota, tęsknienie"
łążtydzień,(f),length,długość
łążu,(adv),longer (comparative of łąg),dłużej
łębier,"(v, 7)",lick,lizać
łętrzona,(f),lantern,latarka
"łoc, -e",(n),milk,mleko
łocarza,(f),dairy,mleczarnia
łocyka,(f),lettuce,sałata
łofaczer,"(v, irr.)","smell, sniff",wąchać
łok,(m),place,miejsce
łokaceń,(f),"location, place",pomieszczenie
łokały,(adj),local,miejscowy
łokar,"(v, 1)",place,mieścić
łokieł,(m),town,miasteczko
łokrzyma,(f),tear,łza
łokwiej,(m),trap,pułapka
łołar,"(v, 1)","prattle, talk",gadać
"łomię, -tu",(n),complaint,skarga
łomiętabły,(adj),lamentable,godny pożałowania
łomiętar,"(v, 1)",complain,skarżyć się
łoniąc,(adv),far away,daleko
łonierzy,(adj),further (comparative of łonięcy),dalszy
łonieśmy,(adj),furthest,najdalszy
łonięcy,(adj),far,daleki
łoniu,(adv),further,dalej
łończa,(f),lance,lanca
łosy,(adj),lax,luźny
łoszczywy,(adj),wanton,swawolny
łotruń,(m),hustler,łobuz
łotrzata,(f),lizard,jaszczórka
łotrzyna,(f),bathroom,łazienka
łowórz,(m),work,praca
łowurar,"(v, 1)",work,pracować
łowuratórz,(m),"worker, labourer","robotnik, pracownik"
łór,(pron.poss.),their (mn),ich
łu,(pron.pers.),"his, belonging to him",jego
"łu (łu, li, łu)",(pron.pers.),it,"ono, to"
łuca,(f),struggle,walka
łucar,"(v, 2)","fight, battle",walczyć
łucatórz,(m),warrior,wojownik
łudar,"(v, 1)",praise,chwalić
łukier,(n),profit,zysk
łup,(m),wolf,wilk
łuża,(f),flagstone,piaskowiec
łyczar,"(v, 4)",shine,świecić
łydzier sie,"(v, 7)","be mistaken, be wrong",mylić się
"łymię, -mnie",(n),light,światło
łyna,(f),moon,księżyc
łyńdzej,(m),Monday,poniedziałek
łysrustać,(f),luxury,luksus
łysruzy,(adj),luxurious,luksusowy
łyt,(n),mud,błoto
mag,(m),"sorcerer, mage",czarodziej
maga,(f),sorceress,czarodziejka
magia,(f),magic,magia
magicy,(adj),magic,magiczny
magnes,(m),magnet,magnes
magnetycy,(adj),magnetic,magnetyczny
magneż,(n),magnesium,magnez
magnolia,(f),magnolia,magnolia
maj,(m),May,maj
mal,(adv),badly,źle
maldziczer,"(v, 7)",slander,"szkalować, wypowiadać oszczerstwa"
maltrocar,"(v, 1)",maltreat,maltretować
małgra,(prep +3),in spite of,"wbrew, pomimo"
małuń,(m),bad person,zły człowiek
mały,(adj),bad,zły
mama,(f),mummy,mama
man,(m),hand,dłoń
manażer,"(v, 7)",wield,"władać, dzierżyć"
mandat,(m),fee,mandat
maniak,(m),maniac,maniak
maniera,(f),"manner, way","maniera, sposób"
manipulaceń,(f),manipulation,manipulacja
manipulaciwy,(adj),manipulative,manipulatywny
manipular,"(v, 2)",manipulate,manipulować
mańka,(f),sleeve,rękaw
mapa,(f),map,mapa
marć,(m),March,marzec
mardzej,(m),Tuesday,wtorek
"marmr, -mrze",(n),marble,marmur
marmurar,"(v, 1)",mutter,"mruczeć, mamrotać"
marnarz,(m),sailor,marynarz
"marz, -e",(n),sea,morze
marzyny,(adj),maritime,morski
masa,(f),mass,masa
masakra,(f),massacre,masakra
masakrar,"(v, 1)",massacre,masakrować
maska,(f),mask; bonnet (hood),maska
masturbar,"(v, 1)",masturbate,masturbować
maszyna,(f),machine,maszyna
maszynista,(m),train driver,maszynista
matematycy,(adj),mathematical,matematyczny
matematyk,(m),mathematician,matematyk
matematyka,(f),mathematics,matematyka
materiał,(n),material,materiał
mazowiany,(adj),Masovian,mazowiecki
maż,(conj),"but, and","a, ale"
"mąd, mędu",(m),world,świat
mąkła,(f),"stain, spot",plama
mechanicy,(adj),mechanical,mechaniczny
mechanik,(m),mechanic,mechanik
mechanizm,(n),mechanism,mechanizm
mecz,(m),"game, match","mecz, zawód, wyścigi"
media,(n.pl.),media,media
medycy,(adj),medical,medyczny
melancholia,(f),melancholy,melancholia
melancholicy,(adj),melancholic,melancholiczny
melodia,(f),melody,melodia
melon,(m),melon,melon
meniu,(n),menu,menu
mentaltać,(f),mentality,mentalność
mentały,(adj),mental,mentalny
mer,(m),wall,"mur, ściana"
merz,(m),mouse,mysz
metał,(n),metal,metal
metłar,"(v, 1)",mutilate,kaleczyć
męciół,(n),coat,płaszcz
męć,(m),mountain,góra
mędar,"(v, 1)","charge with, instruct","polecać, kazać"
mędat,(n),"charge, instruction, mandate",polecenie
mędkar,"(v, 1)",eat,jeść
"mędu, -drze",(n),"task, duty",zadanie
mędzały,(adj),"worldly, global",światowy
mętany,(adj),upper,górny
miadczyna,(f),medicine,lekarstwo
miadła,(f),marrow,szpik
"miał, miele",(n),honey,miód
miarła,(f),blackbird,kos
miary,(adj),clear,"jasny, czysty"
miastr,(m),master,mistrz
miastrały,(adj),masterly,mistrzowski
miastrzytydzień,(f),championship,mistrzostwo
mica,(f),crumb,okruch
miecha,(f),slut,dziwka
miecier,"(v, irr.)",send,wysyłać
miecim,(adv),even,nawet
miedz,(n),middle,środek
miedzały,(adj),environmental,środowiskowy
miedzany,(adj),average,przeciętny
miedzekrzy,(adj),mediocre,mierny
"miedziek, miadku",(m),doctor,lekarz
miegraceń,(f),migration,migracja
miegrar,"(v, 1)",migrate,wędrować
"miej, mia",(pron.poss.),my,mój
miel,(adv),better,lepiej
"miel, mle",(n),millet,proso
mielerzy,(adj),better (comparative of bony),lepszy
miemorza,(f),memory,wspomnienie
miemorzer,"(v, 5)",remember,pamiętać
mień,(adv),less,mniej
mień: mień u pły,(adv),more or less,mniej więcej
mierakieł,(n),miracle,cud
mierakłuzy,(adj),"wonderful, miraculous","cudowny, cudny"
mierkatórz,(m),salesman,handlowca
mierzewkar,"(v, 1)",cleanse,czyścić
mierzydzanoamerykany,(adj),South American,południowoamerykański
mierzydzany,(adj),southern,południowy
mierzyt,(n),merit,zasługa
mieź,(f),month,miesiąc
mieżyca,(f),cantine,stołówka
miębr,(n),member,członek
mięcier,"(v, 5)",lie,kłamać
mięć,(f),spirit,duch
międzik,(m),beggar,żebrak
międzikar,"(v, 1)",beg,żebrać
miętały,(adj),spiritual,duchowy
mikrofon,(m),microphone,mikrofon
mikroskop,(m),microscope,mikroskopiczny
mil,(num),thousand,tysiąc
mila,(f),mile,mila
mila: mila wenedka,(f),Venedic mile (8634 m),mila wenedzka (8634 m)
mileć,(m),"military man, soldier","wojskowy, żołnierz"
mileń,(n),millennium,milenium
mileśmy,(num),thousandth,tysięczny
"miliard, -u",(num),billion,miliard
miliardzieśmy,(num),billionth,miliardowy
"milion, -u",(num),million,milion
milionarz,(m),millionaire,milioner
milionieśmy,(num),millionth,milionowy
militarzy,(adj),military,wojskowy
mina,(f),mine,kopalnia
minarz,(m),miner,górnik
minister,(m),minister,minister
ministerza,(f),ministery,ministerstwo
minuta,(f),minute,minuta
miozar,"(v, 1)",measure,mierzyć
miozera,(f),measure,rozmiar
miódnoc,(f),north; midnight,północ
miódnocałoamerykany,(adj),North American,północnoamerykański
miódnocały,(adj),northern,północny
mistera,(f),"mix, mixture, melange",mieszanka
miszczer,"(v, 8)","mix, confuse",mieszać
miszeń,(f),mission,misja
miścierz,(n),mystery,zagadka
miścierzuzy,(adj),mysterious,tajemniczy
mizrabły,(adj),miserable,żałosny
mizry,(adj),"miserable, unfortunate","nieszczęśliwy, nędzny"
mler,"(v, 7)",grind,mleć
mlerza,(f),woman (derog.),baba
mlin,(m),mill,młyn
mlinarz,(m),miller,młynarz
mnacza,(f),threat,zagrożenie
mnierzy,(adj),smaller (comparative of pieskły),mniejszy
mnieśmy,(adj),smallest (superlative of pieskły),najmniejszy
mniortać,(f),minority,mniejszość
mnoch,(m),monk,mnich
"mnościerz, -e",(n),monastry,"opactwo, klasztor"
mobiel,(m),(piece of) furniture,mebel
moble,(m.pl.),furniture,meble
mocica,(f),mother,matka
modwar,"(v, 1)",motivate,motywować
modziesty,(adj),modest,skromny
modziewkar,"(v, 1)",modify,"modyfikować, zmieniać"
mojerzy,(adj),bigger (comparative of grędźi),większy
mojortać,(f),majority,większość
mokry,(adj),"meagre, thin",chudy
molaca,(f),disease,choroba
molar,"(v, 1)",hammer,"bić młotem, kuć"
molaty,(adj),"sick, ill",chory
moler,"(v, 5)",soften,zmiększać
molestar,"(v, 1)",molest,molestować
moli,(adj),soft,miękki
molini,(adj),malicious,złośliwy
molińtać,(f),maliciousness,złośliwość
moła,(f),mill-stone,kamień młyński
momiała,(f),"breast, tit","pierś, cycka"
"momię, -tu",(n),moment,"moment, chwila"
momiętalemięć,(adv),"momentally, at the moment, now",chwilowo
monarch,(m),monarch,monarch
monarchia,(f),monarchy,monarchia
monarchiski,(adj),monarchist,monarchistyczny
monarchista,(m),monarchist,monarchista
moneta,(f),coin,moneta
monstr,(n),monster,potwór
montrejany,(adj),Montreiano,montrejański
"monumię, -tu",(n),monument,pomnik
morały,(adj),moral,moralny
morzer,"(v, 6)",die,umierać
moszkieł,(m),man,mężczyzna
moszkliny,(adj),"male, masculine",męski
moszklińtać,(f),masculinity,męskość
mośmy,(adj),biggest (superlative of grędźi),największy
motery,(adj),ripe,dojrzały
moterzeszczer,"(v, 8)",grow mature,dojrzewać
motorrota,(f),motorbike,motocykl
motruna,(f),grandmother,babcia
motrzeńtać,(f),motherhood,macierzyństwo
motrzony,(adj),motherly,macierzyński
motyl,(m),butterfly,motyl
motyw,(n),motive,"motyw, bodziec"
mowiar,"(v, 4)",move,ruszać
możeń,(f),stay; place to stay,pobyt; miejsce pobytu
możonar,(f),stay (f.ex. in a hotel),zatzymywać się
mód,(m),"way, manner",sposób
mółci,(adv),many,wielu
mółczar,"(v, 2)",cuddle,pieścić
mółt,(adv),very; much,bardzo; dużo
mrociewkar,"(v, 1)",kill,zabijać
mrociół,(m),hammer,młotek
mroć,(f),death,śmierć
mrodziar,"(v, 2)",bite,gryźć
mrotalnik,(m),mortal,śmiertelnik
mrotały,(adj),mortal,śmiertelny
mrotąd,(n),worry,zmartwienie
mrotwar sie,"(v, 1)",worry,martwić się
mroty,(adj),dead,martwy
mrzeczanarz,(m),mercenary,najemnik
mrzedź,(f),salary,"pensja, salariusz"
mrzekierdzej,(m),Wednesday,środa
mrzekierz,(n),mercury,rtęć
mrzoda,(f),shit,gówno
mrzydz,(f),South; afternoon,południe
mszatek,(n),message,wiadomość
mudeł,(m),mold,"forma, odlew"
"mumię, -mnie",(n),movement,ruch
mumnar,"(v, 1)",fuck,pierdolić
municzypały,(adj),municipal,gminny
mustrar,"(v, 1)",show,pokazywać
mustrar: mustrar sie,"(v, 1)",turn out,okazać się
muszka,(f),mosquito,komar
mut,(m),"mutter, grunt","mruczenie, mamrotanie"
mutaceń,(f),mutation,mutacja
mutar,"(v, 1)",change,zmieniać
muzycy,(adj),musical,muzyczny
muzyka,(f),music,muzyka
muzykaltać,(f),musicality,muzykalność
